----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------

#### DEBUT JOB  20170621-000910 ####

Report of the autosys jobs le 20170621 a 000910

###################################################################

There are 625 jobs in error

Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
sb_wday01_eodEau1;1;2017/06/19 20:00:00;2017/06/20 18:39:23; ;FAILURE; ;81563;784976/1;28-JUL-16;04-FEB-17;
jitgEau1;1;2017/06/19 20:00:01;2017/06/20 18:39:22; ;FAILURE; ;81561;784976/1;03-AUG-16;04-FEB-17;
jitvEau1;1;2017/06/19 20:00:01;2017/06/20 18:39:21; ;FAILURE; ;81560;784976/1;03-AUG-16;04-FEB-17;
darwLrf1;1;2017/06/19 20:31:30;2017/06/20 18:39:28; ;FAILURE; ;79678;784986/1;08-JUN-17; ;
dapcLrf1;1;2017/06/19 23:31:23;2017/06/20 18:39:28; ;FAILURE; ;68885;784998/1;08-JUN-17; ;
j9f3Hau1;1;2017/06/20 02:43:48;2017/06/20 18:39:23; ;FAILURE; ;57335;785030/1;20-JUN-17; ;
Ctrl_01Hau1;1;2017/06/20 03:04:10;2017/06/20 18:43:48; ;FAILURE; ;56378;785036/1;19-JUN-17; ;
rot_ficLsa2;1;2017/06/20 18:39:15;2017/06/20 18:39:15;parva4022576;FAILURE; ;0;784435/1;16-JUN-17; ;
rot_ficLrf1;1;2017/06/20 18:39:16;2017/06/20 18:39:16;parva4022576;FAILURE; ;0;784437/1;08-JUN-17; ;
rot_ficLrf2;1;2017/06/20 18:39:16;2017/06/20 18:39:16;parva4022576;FAILURE; ;0;784438/1;14-JUN-17; ;
rot_ficLrf3;1;2017/06/20 18:39:16;2017/06/20 18:39:16;parva4022576;FAILURE; ;0;784439/1;14-JUN-17; ;
rot_ficLsa1;1;2017/06/20 18:39:16;2017/06/20 18:39:16;parva4022576;FAILURE; ;0;784434/1;16-JUN-17; ;
rot_ficLsa3;1;2017/06/20 18:39:16;2017/06/20 18:39:16;parva4022576;FAILURE; ;0;784436/1;16-JUN-17; ;
jqvdLrf1_dasa9c_01;3;2017/06/20 18:39:17;2017/06/20 18:39:18;parva4022576;FAILURE; ;1;771629/1;17-JUN-17; ;
jqvdLrf1_jqsv23_01;3;2017/06/20 18:39:17;2017/06/20 18:39:18;parva4022576;FAILURE; ;1;771629/1;17-JUN-17; ;
jqvdLrf1_jqsv30_01;3;2017/06/20 18:39:17;2017/06/20 18:39:19;parva4022576;FAILURE; ;2;771629/1;17-JUN-17; ;
jqvdLrf1_jqsv40_01;3;2017/06/20 18:39:17;2017/06/20 18:39:19;parva4022576;FAILURE; ;2;771629/1;17-JUN-17; ;
h9s1Cald_has9s1_01;1;2017/06/20 18:39:18;2017/06/20 18:39:28;parva4022576;FAILURE; ;10;784673/1;18-FEB-17; ;
h9s1Cald_has9s2_01;3;2017/06/20 18:39:18;2017/06/20 18:39:19;parva4022576;FAILURE; ;1;784673/1;18-FEB-17; ;
rot_ficLsa4;1;2017/06/20 18:39:18;2017/06/20 18:39:18;parva4022576;FAILURE; ;0;784607/1;17-JUN-17; ;
rot_ficLsa5;1;2017/06/20 18:39:18;2017/06/20 18:39:18;parva4022576;FAILURE; ;0;784606/1;17-JUN-17; ;
jca1Eau1_das202_04;2;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784717/1;20-AUG-16;04-FEB-17;
jca1Eau1_dasl12_02;2;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784717/1;20-AUG-16;04-FEB-17;
jca1Eau1_dasl21_02;2;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784717/1;20-AUG-16;04-FEB-17;
jca1Eau1_jica04_01;2;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784717/1;03-AUG-16;04-FEB-17;
jca1Eau1_jica04_04;2;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784717/1;20-AUG-16;04-FEB-17;
jls2Lsa4_jlsf66_01;127;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784919/1;17-JUN-17; ;
jls2Lsa5_jlsf66_01;127;2017/06/20 18:39:19;2017/06/20 18:39:19;parva4022576;FAILURE; ;0;784917/1;17-JUN-17; ;
darwLrf1_dapc2t_01;3;2017/06/20 18:39:20;2017/06/20 18:39:28;parva4022576;FAILURE; ;8;784986/1;08-JUN-17; ;
dcr2Lsa4_dasa9c_01;127;2017/06/20 18:39:20;2017/06/20 18:39:20;parva4022576;FAILURE; ;0;784484/1;17-JUN-17; ;
jitgEau1_jitpa3_01;2;2017/06/20 18:39:20;2017/06/20 18:39:20;parva4022576;FAILURE; ;0;784976/1;20-AUG-16;04-FEB-17;
jitgEau1_jitpa6_01;2;2017/06/20 18:39:20;2017/06/20 18:39:20;parva4022576;FAILURE; ;0;784976/1;20-AUG-16;04-FEB-17;
jitvEau1_jitpv1_02;2;2017/06/20 18:39:20;2017/06/20 18:39:20;parva4022576;FAILURE; ;0;784976/1;20-AUG-16;04-FEB-17;
dapcLrf1_dapa05_01;3;2017/06/20 18:39:22;2017/06/20 18:39:28;parva4022576;FAILURE; ;6;784998/1;08-JUN-17; ;
j9f3Hau1_jas9a3_01;127;2017/06/20 18:39:22;2017/06/20 18:39:22;parva4022576;FAILURE; ;0;785030/1;20-JUN-17; ;
jqv0Lrf1_jqsv00_01;254;2017/06/20 18:39:22;2017/06/20 18:41:21;parva4022576;FAILURE; ;119;771629/9;16-JUN-17;16-JUN-17;
dvbaLsa5_dasa9c_01;127;2017/06/20 18:39:28;2017/06/20 18:39:28;parva4022576;FAILURE; ;0;784985/1;17-JUN-17; ;
hiiaLsa4_dasa9c_01;127;2017/06/20 18:39:40;2017/06/20 18:39:42;parva4022576;FAILURE; ;2;784507/1;17-JUN-17; ;
jspaLrf1_dapz31_01;3;2017/06/20 18:39:42;2017/06/20 18:39:46;parva4022576;FAILURE; ;4;771236/2;08-JUN-17; ;
jca1Eau1_dasl20_01;2;2017/06/20 18:39:43;2017/06/20 18:39:43;parva4022576;FAILURE; ;0;784717/1;03-AUG-16;04-FEB-17;
hbkpLsa4_dasa9c_01;127;2017/06/20 18:39:59;2017/06/20 18:39:59;parva4022576;FAILURE; ;0;784507/1;17-JUN-17; ;
jca1Eau1_jica03_02;2;2017/06/20 18:40:00;2017/06/20 18:40:00;parva4022576;FAILURE; ;0;784717/1;20-AUG-16;04-FEB-17;
hiiaLsa5_dasa9c_01;127;2017/06/20 18:40:07;2017/06/20 18:40:07;parva4022576;FAILURE; ;0;784510/1;17-JUN-17; ;
hbkpLsa5_dasa9c_01;127;2017/06/20 18:40:11;2017/06/20 18:40:11;parva4022576;FAILURE; ;0;784510/1;17-JUN-17; ;
mrhrLsa4_dasa9c_01;127;2017/06/20 18:40:13;2017/06/20 18:40:13;parva4022576;FAILURE; ;0;784511/1;17-JUN-17; ;
dar1Lrf1_dasa9c_01;3;2017/06/20 18:40:16;2017/06/20 18:40:18;parva4022576;FAILURE; ;2;771629/1;08-JUN-17; ;
