jobset,job,Date job available,Time job available,Date job start,Time job start,Date job end,Time job end,Code job Complete
jfu00Cald,dfs100,01/02/2017,03:29:29,01/02/2017,07:13:17,01/02/2017,07:13:26,00000000
jfu00Cald,dfs100,01/03/2017,03:01:40,01/03/2017,06:13:09,01/03/2017,06:13:18,00000000
jfu00Cald,dfs100,01/04/2017,02:54:12,01/04/2017,06:25:06,01/04/2017,06:25:15,00000000
jfu00Cald,dfs100,02/02/2017,00:13:21,02/02/2017,00:55:18,02/02/2017,00:55:34,00000000
jfu00Cald,dfs100,02/02/2017,23:58:20,03/02/2017,00:26:07,03/02/2017,00:26:20,00000000
jfu00Cald,dfs100,02/03/2017,00:20:58,02/03/2017,01:02:25,02/03/2017,01:02:41,00000000
jfu00Cald,dfs100,03/03/2017,00:07:37,03/03/2017,00:36:34,03/03/2017,00:36:51,00000000
jfu00Cald,dfs100,03/05/2017,00:56:56,03/05/2017,01:15:38,03/05/2017,01:15:43,00000000
jfu00Cald,dfs100,03/05/2017,23:18:44,03/05/2017,23:32:37,03/05/2017,23:32:41,00000000
jfu00Cald,dfs100,04/02/2017,00:00:28,04/02/2017,00:29:44,04/02/2017,00:29:59,00000000
jfu00Cald,dfs100,04/03/2017,00:05:47,04/03/2017,00:34:38,04/03/2017,00:34:49,00000000
jfu00Cald,dfs100,04/04/2017,00:41:22,04/04/2017,01:26:10,04/04/2017,01:26:26,00000000
jfu00Cald,dfs100,04/05/2017,23:10:03,04/05/2017,23:25:20,04/05/2017,23:25:24,00000000
jfu00Cald,dfs100,05/04/2017,00:24:56,05/04/2017,00:57:49,05/04/2017,00:58:01,00000000
jfu00Cald,dfs100,05/05/2017,23:15:06,05/05/2017,23:29:07,05/05/2017,23:29:10,00000000
jfu00Cald,dfs100,06/04/2017,01:36:48,06/04/2017,02:11:52,06/04/2017,02:12:04,00000000
jfu00Cald,dfs100,07/02/2017,00:49:24,07/02/2017,01:03:22,07/02/2017,01:03:45,00000000
jfu00Cald,dfs100,07/03/2017,00:10:36,07/03/2017,00:41:20,07/03/2017,00:41:33,00000000
jfu00Cald,dfs100,07/04/2017,00:37:00,07/04/2017,01:10:15,07/04/2017,01:10:32,00000000
jfu00Cald,dfs100,07/04/2017,23:59:47,08/04/2017,00:34:24,08/04/2017,00:34:37,00000000
jfu00Cald,dfs100,08/02/2017,00:03:13,08/02/2017,00:32:36,08/02/2017,00:32:50,00000000
jfu00Cald,dfs100,08/03/2017,00:01:25,08/03/2017,00:30:21,08/03/2017,00:30:37,00000000
jfu00Cald,dfs100,08/03/2017,23:58:12,09/03/2017,00:27:18,09/03/2017,00:27:30,00000000
jfu00Cald,dfs100,09/02/2017,01:46:34,09/02/2017,02:18:19,09/02/2017,02:18:34,00000000
jfu00Cald,dfs100,09/02/2017,23:53:16,10/02/2017,00:22:08,10/02/2017,00:22:22,00000000
jfu00Cald,dfs100,09/03/2017,23:54:17,10/03/2017,00:23:26,10/03/2017,00:23:37,00000000
jfu00Cald,dfs100,10/05/2017,01:28:36,10/05/2017,01:36:18,10/05/2017,01:36:23,00000000
jfu00Cald,dfs100,11/01/2017,00:20:49,11/01/2017,00:36:23,11/01/2017,00:36:40,00000000
jfu00Cald,dfs100,11/02/2017,02:05:45,11/02/2017,02:38:49,11/02/2017,02:39:03,00000000
jfu00Cald,dfs100,11/03/2017,00:02:14,11/03/2017,00:32:38,11/03/2017,00:32:51,00000000
jfu00Cald,dfs100,11/04/2017,00:02:44,11/04/2017,00:36:51,11/04/2017,00:37:08,00000000
jfu00Cald,dfs100,11/05/2017,03:25:44,11/05/2017,03:39:33,11/05/2017,03:39:36,00000000
jfu00Cald,dfs100,11/05/2017,23:10:36,11/05/2017,23:23:59,11/05/2017,23:24:05,00000000
jfu00Cald,dfs100,12/01/2017,00:12:32,12/01/2017,00:41:11,12/01/2017,00:41:24,00000000
jfu00Cald,dfs100,12/01/2017,23:53:32,13/01/2017,00:23:07,13/01/2017,00:23:22,00000000
jfu00Cald,dfs100,12/04/2017,00:08:50,12/04/2017,00:40:37,12/04/2017,00:40:48,00000000
jfu00Cald,dfs100,12/04/2017,23:58:59,13/04/2017,00:31:26,13/04/2017,00:31:45,00000000
jfu00Cald,dfs100,12/05/2017,23:10:19,12/05/2017,23:24:07,12/05/2017,23:24:10,00000000
jfu00Cald,dfs100,13/01/2017,23:47:03,14/01/2017,00:17:19,14/01/2017,00:17:32,00000000
jfu00Cald,dfs100,13/02/2017,23:49:28,14/02/2017,00:20:39,14/02/2017,00:21:00,00000000
jfu00Cald,dfs100,14/03/2017,00:00:44,14/03/2017,00:30:48,14/03/2017,00:31:00,00000000
jfu00Cald,dfs100,14/03/2017,23:48:41,15/03/2017,00:18:05,15/03/2017,00:18:21,00000000
jfu00Cald,dfs100,14/04/2017,00:02:53,14/04/2017,00:35:54,14/04/2017,00:36:08,00000000
jfu00Cald,dfs100,14/04/2017,23:36:48,14/04/2017,23:55:41,14/04/2017,23:55:51,00000000
jfu00Cald,dfs100,15/02/2017,01:12:25,15/02/2017,01:42:58,15/02/2017,01:43:14,00000000
jfu00Cald,dfs100,15/02/2017,23:51:52,16/02/2017,00:22:47,16/02/2017,00:23:05,00000000
jfu00Cald,dfs100,15/03/2017,23:49:10,16/03/2017,00:18:08,16/03/2017,00:18:20,00000000
jfu00Cald,dfs100,15/05/2017,23:21:08,15/05/2017,23:38:23,15/05/2017,23:38:29,00000000
jfu00Cald,dfs100,16/01/2017,23:51:18,17/01/2017,00:21:21,17/01/2017,00:21:35,00000000
jfu00Cald,dfs100,16/02/2017,23:47:53,17/02/2017,00:18:21,17/02/2017,00:18:34,00000000
jfu00Cald,dfs100,16/05/2017,23:26:03,16/05/2017,23:44:01,16/05/2017,23:44:06,00000000
jfu00Cald,dfs100,17/03/2017,00:59:05,17/03/2017,01:28:02,17/03/2017,01:28:16,00000000
jfu00Cald,dfs100,17/03/2017,23:46:06,18/03/2017,00:16:34,18/03/2017,00:16:48,00000000
jfu00Cald,dfs100,17/05/2017,23:24:00,17/05/2017,23:40:33,17/05/2017,23:40:43,00000000
jfu00Cald,dfs100,18/01/2017,00:22:40,18/01/2017,00:53:03,18/01/2017,00:53:18,00000000
jfu00Cald,dfs100,18/01/2017,23:46:30,19/01/2017,00:15:45,19/01/2017,00:15:59,00000000
jfu00Cald,dfs100,18/02/2017,04:52:44,18/02/2017,05:25:16,18/02/2017,05:25:29,00000000
jfu00Cald,dfs100,18/05/2017,23:22:26,18/05/2017,23:40:02,18/05/2017,23:40:07,00000000
jfu00Cald,dfs100,19/01/2017,23:44:09,20/01/2017,00:13:33,20/01/2017,00:13:50,00000000
jfu00Cald,dfs100,19/04/2017,00:45:50,19/04/2017,01:04:05,19/04/2017,01:04:15,00000000
jfu00Cald,dfs100,20/01/2017,23:45:20,21/01/2017,00:14:57,21/01/2017,00:15:09,00000000
jfu00Cald,dfs100,20/02/2017,23:54:24,21/02/2017,00:25:16,21/02/2017,00:25:28,00000000
jfu00Cald,dfs100,20/04/2017,01:49:08,20/04/2017,02:06:46,20/04/2017,02:06:55,00000000
