ENV;APP;JOB;CAL;DATE;FAMILY;MACHINE;QUEUE;USER;BEGIN;END;ELAPSE;EXPDATE;EXEC;PERIOD;JOBTYPE;RETRY;STATUS
MIDDLE_OFFICE;FID_MOF_HONO_ACM;HONORAIRES_ACM;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:38;27-01-2010 00:00:38;0:00:00;27-01-2010 00:00:00;STOP;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;MOF_AIDA_ENG_CLO;ENG_TEMP;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:38;27-01-2010 00:00:38;0:00:00;27-01-2010 00:00:00;STOP;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;MOF_AIDA_ENG_CLO;REMB_TEMP;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:39;27-01-2010 00:00:39;0:00:00;27-01-2010 00:00:00;STOP;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;MOF_AIDA_ENG_CLO;MAIL_REJET;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:39;27-01-2010 00:00:39;0:00:00;27-01-2010 00:00:00;STOP;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;MOF_AIDA_ENG_CLO;PURGE_MAIL;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:39;27-01-2010 00:00:39;0:00:00;27-01-2010 00:00:00;STOP;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;FID_MOF_HONO_FIL;HONO_FILIALE;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:40;27-01-2010 00:00:40;0:00:00;27-01-2010 00:00:00;EXEC;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;R_MOF_AID_ENGTMP;ENG_LOC_TEMP;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:40;27-01-2010 00:00:40;0:00:00;27-01-2010 00:00:00;EXEC;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;R_MOF_AID_ENGTMP;ENG_TEMP;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:40;27-01-2010 00:00:40;0:00:00;27-01-2010 00:00:00;EXEC;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;R_MOF_AID_ENGTMP;REMB_TEMP;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:40;27-01-2010 00:00:40;0:00:00;27-01-2010 00:00:00;EXEC;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;R_MOF_AID_ENGTMP;MAIL_REJET;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:41;27-01-2010 00:00:41;0:00:00;27-01-2010 00:00:00;EXEC;JOUR;PER;0;NON-PLANIFIE
MIDDLE_OFFICE;R_MOF_AID_ENGTMP;PURGE_MAIL;tous_les_jours;prod_mof;;smapx251;queue_ksh;vp_mof;27-01-2010 00:00:41;27-01-2010 00:00:41;0:00:00;27-01-2010 00:00:00;EXEC;JOUR;PER;0;NON-PLANIFIE
