Environnement;Application;Jobname;Famille;Machine;Status;Type de Jour;D Debut;H Debut;D Fin;H Fin;Duree;Jobtype;Calendrier;Exec;Date Systeme;Hr. Systeme;Date Passage;Valeur Date;Relances;Queue;User;Periodicite;Cycle;Situation;Message
TEST_STAT;TELEPHONIE;;;hmapora2;NOPL;FERIE;27-Janv-2010;00:00:17;27-Janv-2010;00:00:17;00:00:00;PERI;tous_les_jours;STOP;27-Janv-2010;00:00:17;test_stat;27-Janv-2010;0;queue_ksh;vt_stat;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_STAT;STAT_SOGESSUR;;;smapx251;NOPL;FERIE;27-Janv-2010;00:00:18;27-Janv-2010;00:00:18;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:18;test_stat;27-Janv-2010;0;queue_ksh;vt_stat;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
ARCOLE_LOT1;ARC_VV_QRELVIR;;;imapora2;NOPL;FERIE;27-Janv-2010;00:00:18;27-Janv-2010;00:00:18;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:18;prod_arcole_lot1;27-Janv-2010;0;queue_ksh;vp_ares;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_STAT;HONO_AIDA_NEXX;;;lmadora1;NOPL;FERIE;27-Janv-2010;00:00:19;27-Janv-2010;00:00:19;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:19;test_stat;27-Janv-2010;0;queue_ksh;vt_stat;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_STAT;CONTROL_REJETAGF;;;smapx251;NOPL;FERIE;27-Janv-2010;00:00:19;27-Janv-2010;00:00:19;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:19;test_stat;27-Janv-2010;0;queue_ksh;vt_stat;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_STAT;HONO_REJ_REC_AGF;;;hmapora2;NOPL;FERIE;27-Janv-2010;00:00:20;27-Janv-2010;00:00:20;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:20;test_stat;27-Janv-2010;0;queue_ksh;vt_stat;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_ARCOLE_3G;MOF_RETOUR_REG;;;smapx251;NOPL;FERIE;27-Janv-2010;00:00:21;27-Janv-2010;00:00:21;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:21;test_arcole_3g;27-Janv-2010;0;queue_ksh;vt_ares;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
ARCOLE_LOT1;ARC_VV_QDEMEURE;;;imapora2;NOPL;FERIE;27-Janv-2010;00:00:21;27-Janv-2010;00:00:21;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:21;prod_arcole_lot1;27-Janv-2010;0;queue_ksh;vp_ares;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_SFDS;majfcmaf;;;hmapora2;NOPL;FERIE;27-Janv-2010;00:00:21;27-Janv-2010;00:00:21;00:00:00;PERI;tous_les_jours;STOP;27-Janv-2010;00:00:21;test_sfds;27-Janv-2010;0;queue_ksh;vt_sfds;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
TEST_STAT;HONO_GENER_EDI;;;lmadora1;NOPL;FERIE;27-Janv-2010;00:00:21;27-Janv-2010;00:00:21;00:00:00;PERI;*;STOP;27-Janv-2010;00:00:21;test_stat;27-Janv-2010;0;queue_ksh;vt_stat;JOUR;NON;NOPL;Attente lien obligatoire  vers exp_inc1 actuellement NON PLANIFIE
