10:24:34 13-11-2009 | th-0074 | 01 |                  main.c   275 | VTSERVER Start...
10:24:34 13-11-2009 | th-0074 | 01 |                  main.c   284 | 
10:24:34 13-11-2009 | th-0074 | 01 |                  main.c   285 | VTSERVER : VERSION 5.2.2 FR 2009/10/02 Visual Tom (c) Absyss10:24:34 13-11-2009 | th-0074 | 01 |                  main.c   286 | 
10:24:34 13-11-2009 | th-0074 | 01 |                  main.c   290 | - server start at 13/11/09 10:24:34
10:24:34 13-11-2009 | th-0074 | 01 | *p\jsrv_backup_config.c   115 | - simple server mode
10:24:35 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port vtsgbd n'est pas surcharge par la variable d'environnement TOM_PORT_vtsgbd.
10:24:35 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:35 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port vtsgbd n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:35 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut vtsgbd.
10:24:36 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service vtsgbd vaut 30009.
10:24:36 13-11-2009 | th-0074 | 01 |              abs_sgbd.c   185 | Using port from vtsgbd service (30009).
10:24:36 13-11-2009 | th-0074 | 01 |                  main.c   399 | - init Relational Database connections (host:localhost port:30009 user:vtom name:vtom)...
10:24:36 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   223 | abs_sgbd_init, recuperation depuis C:\WINDOWS\vtom.ini...
10:24:37 13-11-2009 | th-0074 | 01 |              abs_sgbd.c   261 | abs_sgbd_init alloc 5 connections on primary with [user=vtom dbname=vtom port=30009 host=localhost password=vtom]...
10:24:37 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   338 | abs_sgbd_logon...
10:24:37 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'user' valeur:'vtom' prise en compte.
10:24:37 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'dbname' valeur:'vtom' prise en compte.
10:24:37 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'port' valeur:'30009' prise en compte.
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'host' valeur:'localhost' prise en compte.
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'password' valeur:'vtom' prise en compte.
10:24:38 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    33 | abs_sgbd_pg_logon...
10:24:38 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    62 | abs_sgbd_pg_logon ok.
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   377 | abs_sgbd_logon ok.
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   338 | abs_sgbd_logon...
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'user' valeur:'vtom' prise en compte.
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'dbname' valeur:'vtom' prise en compte.
10:24:38 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'port' valeur:'30009' prise en compte.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'host' valeur:'localhost' prise en compte.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'password' valeur:'vtom' prise en compte.
10:24:39 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    33 | abs_sgbd_pg_logon...
10:24:39 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    62 | abs_sgbd_pg_logon ok.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   377 | abs_sgbd_logon ok.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   338 | abs_sgbd_logon...
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'user' valeur:'vtom' prise en compte.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'dbname' valeur:'vtom' prise en compte.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'port' valeur:'30009' prise en compte.
10:24:39 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'host' valeur:'localhost' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'password' valeur:'vtom' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    33 | abs_sgbd_pg_logon...
10:24:40 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    62 | abs_sgbd_pg_logon ok.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   377 | abs_sgbd_logon ok.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   338 | abs_sgbd_logon...
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'user' valeur:'vtom' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'dbname' valeur:'vtom' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'port' valeur:'30009' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'host' valeur:'localhost' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'password' valeur:'vtom' prise en compte.
10:24:40 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    33 | abs_sgbd_pg_logon...
10:24:41 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    62 | abs_sgbd_pg_logon ok.
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   377 | abs_sgbd_logon ok.
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   338 | abs_sgbd_logon...
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'user' valeur:'vtom' prise en compte.
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'dbname' valeur:'vtom' prise en compte.
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'port' valeur:'30009' prise en compte.
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'host' valeur:'localhost' prise en compte.
10:24:41 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   363 | abs_sgbd_logon, parametre clef:'password' valeur:'vtom' prise en compte.
10:24:41 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    33 | abs_sgbd_pg_logon...
10:24:41 13-11-2009 | th-0074 | 05 |        abs_sgbd_pgsql.c    62 | abs_sgbd_pg_logon ok.
10:24:42 13-11-2009 | th-0074 | 05 |              abs_sgbd.c   377 | abs_sgbd_logon ok.
10:24:42 13-11-2009 | th-0074 | 01 |                  main.c   833 | - init service ports...
10:24:42 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port vtlicense n'est pas surcharge par la variable d'environnement TOM_PORT_vtlicense.
10:24:42 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:42 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port vtlicense n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:42 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut vtlicense.
10:24:42 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service vtlicense vaut 20006.
10:24:42 13-11-2009 | th-0074 | 01 |         jsrv_services.c    82 | Port vtlicense (20006) ajoute a la liste.
10:24:42 13-11-2009 | th-0074 | 01 |                  main.c   792 |   * check port vtlicense:20006...
10:24:43 13-11-2009 | th-0074 | 06 |                  capi.c    61 | csapi_connect serveur:192.168.183.1 port:20006 reg:0 tmo:2000ms...
10:24:43 13-11-2009 | th-0074 | 06 |                  capi.c    84 | tcp_no_delay set to 1
10:24:43 13-11-2009 | th-0074 | 06 |                  capi.c    92 | tcp_keep_alive set to 1
10:24:43 13-11-2009 | th-0074 | 06 |                common.c   576 | Set SO_KEEPALIVE on socket 236.
10:24:43 13-11-2009 | th-0074 | 06 |               fdblock.c     9 | fdblock(socket:236 block:1)...
10:24:43 13-11-2009 | th-0074 | 06 |               fdblock.c    31 | La socket 236 est en mode non bloquant.
10:24:43 13-11-2009 | th-0074 | 06 |                  capi.c   227 | Attente de connexion (err 10035)...
10:24:44 13-11-2009 | th-0074 | 01 |                  capi.c   241 | Pb. de connexion.
10:24:44 13-11-2009 | th-0074 | 01 |                  capi.c   243 | Erreur windows 10061 (Aucune connexion n'a pu être établie car l'ordinateur cible l'a expressément refusée.).
