Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 06:00:00;2017/05/14 06:00:03; ;SUCCESS; ;3;415592/1;19-AUG-15;08-MAR-17;
IHRAX01-Q0BOX-HRA_LANCEAPPLI;0;2017/05/14 06:00:00;2017/05/14 06:00:04; ;SUCCESS; ;4;415591/1;15-APR-16;15-APR-16;
IHRAX01-Q1BOX-HRA_LANCE-APPLI;0;2017/05/14 06:00:02;2017/05/14 06:00:03;parva4016550;SUCCESS; ;1;415591/1;15-APR-16;15-APR-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 06:00:03;2017/05/14 06:00:03;s00vl9957605;SUCCESS; ;0;415592/1;19-AUG-15; ;
IDCI00P01-Q1EXT01-BNPICALE-JCHQ_0001;0;2017/05/14 06:00:04;2017/05/14 06:00:04;s00vl9941381;SUCCESS; ;0;415441/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1EXT01-BNPICALE-JPRL_0002;0;2017/05/14 06:00:04;2017/05/14 06:00:04;s00vl9941381;SUCCESS; ;0;415441/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1EXT01-BNPICALE-JVIRU_0002;0;2017/05/14 06:00:04;2017/05/14 06:00:04;s00vl9941381;SUCCESS; ;0;415441/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1CHK01-MAILMARO-CNTBEN_0001;0;2017/05/14 06:00:05;2017/05/14 06:00:05;s00vl9941381;SUCCESS; ;0;415414/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1EXT01-BNPICALE-JASC_0001;0;2017/05/14 06:00:05;2017/05/14 06:00:05;s00vl9941381;SUCCESS; ;0;415441/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1EXT01-BNPICALE-JEXPBEN_0001;0;2017/05/14 06:00:05;2017/05/14 06:00:05;s00vl9941381;SUCCESS; ;0;415441/1;18-OCT-16;18-OCT-16;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 06:02:00;2017/05/14 06:02:03; ;SUCCESS; ;3;415593/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 06:02:02;2017/05/14 06:02:02;s00vl9957622;SUCCESS; ;0;415593/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 06:05:00;2017/05/14 06:05:03; ;SUCCESS; ;3;415594/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 06:05:02;2017/05/14 06:05:02;s00vl9957605;SUCCESS; ;0;415594/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 06:07:00;2017/05/14 06:07:02; ;SUCCESS; ;2;415595/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 06:07:02;2017/05/14 06:07:02;s00vl9957622;SUCCESS; ;0;415595/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 06:10:00;2017/05/14 06:10:03; ;SUCCESS; ;3;415596/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 06:10:03;2017/05/14 06:10:03;s00vl9957605;SUCCESS; ;0;415596/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 06:12:00;2017/05/14 06:12:02; ;SUCCESS; ;2;415597/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 06:12:02;2017/05/14 06:12:02;s00vl9957622;SUCCESS; ;0;415597/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 06:15:00;2017/05/14 06:15:02; ;SUCCESS; ;2;415598/1;19-AUG-15;08-MAR-17;
IDCI00P01-Q1EXT01-BNPICALE-JVIR_0001;0;2017/05/14 06:15:01;2017/05/14 06:15:01;s00vl9941381;SUCCESS; ;0;415441/1;18-OCT-16;18-OCT-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 06:15:02;2017/05/14 06:15:02;s00vl9957605;SUCCESS; ;0;415598/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 06:17:00;2017/05/14 06:17:02; ;SUCCESS; ;2;415599/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 06:17:02;2017/05/14 06:17:02;s00vl9957622;SUCCESS; ;0;415599/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 06:20:00;2017/05/14 06:20:02; ;SUCCESS; ;2;415600/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 06:20:02;2017/05/14 06:20:02;s00vl9957605;SUCCESS; ;0;415600/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 06:22:00;2017/05/14 06:22:02; ;SUCCESS; ;2;415601/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 06:22:02;2017/05/14 06:22:02;s00vl9957622;SUCCESS; ;0;415601/1;19-AUG-15; ;
