BOX ou JOB                    |Start_times|Date_condition|Calendrier|           
_____________________________________________________________________

BWAED01-Q0BOX-MAINTENANCE     |      13:00|             1|       all|           
afaeLcom                      |      00:00|             1|       all|           
afagLcom                      |      00:00|             1|       all|           
apn1Lcom                      |      00:00|             1|       all|           
b_CALjim501                   |      09:00|             1| CALjim501|           
b_CALjpn201                   |      09:00|             1| CALjpn201|           
b_adel01                      |      09:00|             1|    adel01|           
b_afat01                      |      09:00|             1|    afat01|           
b_arr01                       |      09:00|             1|     arr01|           
b_base                        |      09:00|             1|      base|           
b_bim01                       |      09:00|             1|     bim01|           
b_bom01                       |      09:00|             1|     bom01|           
b_cati01                      |      09:00|             1|    cati01|           
b_cdle01                      |      09:00|             1|    cdle01|           
b_dec01                       |      09:00|             1|     dec01|           
b_eom01                       |      09:00|             1|     eom01|           
b_eom901                      |      09:00|             1|    eom901|           
b_eos01                       |      09:00|             1|     eos01|           
b_eot01                       |      09:00|             1|     eot01|           
b_eoy01                       |      09:00|             1|     eoy01|           
b_fic101                      |      09:00|             1|    fic101|           
b_fico01                      |      09:00|             1|    fico01|           
b_fjs01                       |      09:00|             1|     fjs01|           
b_hday01                      |      09:00|             1|    hday01|           
b_heb01                       |      09:00|             1|     heb01|           
b_ldf1301                     |      09:00|             1|   ldf1301|           
b_meg01                       |      09:00|             1|     meg01|           
b_mon01                       |      09:00|             1|     mon01|           
b_mon801                      |      09:00|             1|    mon801|           
b_oasi01                      |      09:00|             1|    oasi01|           
b_orio01                      |      09:00|             1|    orio01|           
b_pfe01                       |      09:00|             1|     pfe01|           
b_pur01                       |      09:00|             1|     pur01|           
b_pur101                      |      09:00|             1|    pur101|           
b_pur201                      |      09:00|             1|    pur201|           
b_ref101                      |      09:00|             1|    ref101|           
b_saof01                      |      09:00|             1|    saof01|           
b_sat01                       |      09:00|             1|     sat01|           
b_sco101                      |      09:00|             1|    sco101|           
b_sco201                      |      09:00|             1|    sco201|           
b_sco301                      |      09:00|             1|    sco301|           
b_suof01                      |      09:00|             1|    suof01|           
b_tip01                       |      09:00|             1|     tip01|           
b_wday01                      |      09:00|             1|    wday01|           
b_wdcb01                      |      09:00|             1|    wdcb01|           
cpp1Luf1_xtstatus_01          |      09:00|             1|       all|           
cpp1Luf1_xtstatus_02          |      14:00|             1|       all|           
d9arAsa1                      |      08:00|             1|      base|           
d9arAsa1_lislog_01            |      08:00|             1|    wday01|           
d9arAsa1_lislog_02            |      11:00|             1|    wday01|           
d9arAsa1_lislog_03            |      16:00|             1|    wday01|           
d9arAsa1_lislog_04            |      23:00|             1|    wday01|           
d9arEsa10                     |      13:05|             1|      base|           
d9arEsa10_lislog_01           |      08:00|             1|    wday01|           
d9arEsa10_lislog_02           |      11:00|             1|    wday01|           
d9arEsa10_lislog_03           |      16:00|             1|    wday01|           
d9arEsa10_lislog_04           |      23:00|             1|    wday01|           
d9arGuin_lislog_02            |      11:00|             1|      base|           
d9arGuin_lislog_03            |      16:00|             1|      base|           
d9arGuin_lislog_04            |      23:00|             1|      base|           
d9arLcom                      |      08:00|             1|       all|           
d9arLcom_lislog_01            |      08:00|             1|    wday01|           
