centos63      ;68             ; hald                                                                  
centos63      ;68             ; hald-addon-acpi: listening on acpid socket                            
centos63      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
centos63      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
centos63      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
centos63      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/sgbd/bin/postgres -D /home/alozahic/Linux/centos63/Ver551/ba  
centos63      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtcentos63er                
centos63      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtsgbd                  
centos63      ;alozahic       ; -ksh                                                                  
centos63      ;alozahic       ; -ksh                                                                  
centos63      ;alozahic       ; -ksh                                                                  
centos63      ;alozahic       ; ksh -x domi_arn_ctrl_process                                          
centos63      ;alozahic       ; postgres: autovacuum launcher process                                 
centos63      ;alozahic       ; postgres: stats collector process                                     
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40907) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40908) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40909) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40910) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40911) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40912) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40913) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40914) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40915) idle                             
centos63      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40916) idle                             
centos63      ;alozahic       ; postgres: wal writer process                                          
centos63      ;alozahic       ; postgres: writer process                                              
centos63      ;alozahic       ; ps -ef                                                                
centos63      ;alozahic       ; sed s/centos63/centos63/g                                                 
centos63      ;alozahic       ; sort                                                                  
centos63      ;alozahic       ; sshd: alozahic@pts/0                                                  
centos63      ;alozahic       ; sshd: alozahic@pts/1                                                  
centos63      ;alozahic       ; /usr/sbin/postdrop -r                                                 
centos63      ;alozahic       ; /usr/sbin/postdrop -r                                                 
centos63      ;alozahic       ; /usr/sbin/postdrop -r                                                 
centos63      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
centos63      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
centos63      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
centos63      ;alozahic       ; vtmonitor                                                             
centos63      ;avahi          ; avahi-daemon: chroot helper                                           
centos63      ;avahi          ; avahi-daemon: running [centos63.local]                                
centos63      ;dbus           ; dbus-daemon --system                                                  
centos63      ;ntp            ; ntpd -u ntp:ntp -p /var/run/ntpd.pid                                  
centos63      ;postfix        ; pickup -l -t fifo -u                                                  
centos63      ;postfix        ; qmgr -l -t fifo -u                                                    
centos63      ;root           ; abrt-dump-oops -d /var/spool/abrt -rwx /var/log/messages              
centos63      ;root           ; [aio/0]                                                               
centos63      ;root           ; [async/mgr]                                                           
centos63      ;root           ; [ata/0]                                                               
centos63      ;root           ; [ata_aux]                                                             
centos63      ;root           ; auditd                                                                
centos63      ;root           ; automount --pid-file /var/run/autofs.pid                              
centos63      ;root           ; -bash                                                                 
centos63      ;root           ; [bdi-default]                                                         
centos63      ;root           ; [cgroup]                                                              
centos63      ;root           ; crond                                                                 
centos63      ;root           ; CROND                                                                 
centos63      ;root           ; CROND                                                                 
centos63      ;root           ; CROND                                                                 
centos63      ;root           ; [crypto/0]                                                            
centos63      ;root           ; cupsd -C /etc/cups/cupsd.conf                                         
centos63      ;root           ; [events/0]                                                            
centos63      ;root           ; [ext4-dio-unwrit]                                                     
centos63      ;root           ; [ext4-dio-unwrit]                                                     
