jobs;mode;heure_debut;heure_fin;type_periodicite;cyclique;cycle;periodicite;mettre_application_en_erreur;ne_pas_deplanifier;attendre_avant_deplanification;heure_deplanification;bloquer_la_date;rattrapage_type;duree_max;retenu;demande;script;parametres;modjobs;liens_amon;liens_aval

MAINTENANCE/Purges/Stats;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeStats.ksh;30 29.;;;

MAINTENANCE/Purges/Logs;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLog.ksh;5.;;;

MAINTENANCE/Purges/Histo;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeHisto.ksh;30 29.;;;

MAINTENANCE/Purges/SCRIPTS;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;;

MAINTENANCE/Purges/ALIM_SI_FACTU_1;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;;

MAINTENANCE/Purges/ALIM_SI_FACTU_2;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;;

MAINTENANCE/Purges/ALIM_SI_FACTU_3;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;;

MAINTENANCE/Backup_Export/MIDI_BACKUP;exec;12:00:00;14:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/backup.ksh;midi.;;;MAINTENANCE/Backup_Export/MIDI_Export[obli]

MAINTENANCE/Backup_Export/MATIN_Export;exec;04:00:00;06:00:00;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/export.ksh;matin.;;MAINTENANCE/Backup_Export/MATIN_BACKUP[obli];

MAINTENANCE/Backup_Export/MATIN_BACKUP;exec;04:00:00;06:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/backup.ksh;matin.;;;MAINTENANCE/Backup_Export/MATIN_Export[obli]

MAINTENANCE/Backup_Export/SOIR_Export;exec;20:00:00;22:00:00;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/export.ksh;soir.;;MAINTENANCE/Backup_Export/SOIR_BACKUP[obli];

MAINTENANCE/Backup_Export/Demande_Export;exec;00:00:00;23:59:00;periodique;non;00:00:00;journaliere;non;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/export.ksh;demande.;;MAINTENANCE/Backup_Export/Demande_BACKUP[obli];

MAINTENANCE/Backup_Export/SOIR_BACKUP;exec;20:00:00;22:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/backup.ksh;soir.;;;MAINTENANCE/Backup_Export/SOIR_Export[obli]

MAINTENANCE/Backup_Export/Demande_BACKUP;exec;00:00:00;23:59:00;demande;non;00:00:00;journaliere;non;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/backup.ksh;20120411_1345.;;;MAINTENANCE/Backup_Export/Demande_Export[obli]

MAINTENANCE/Backup_Export/MIDI_Export;exec;12:00:00;14:00:00;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/export.ksh;midi.;;MAINTENANCE/Backup_Export/MIDI_BACKUP[obli];

MAINTENANCE/SUP_VTOM/CTRL_MOTEUR;exec;00:00:00;23:59:00;periodique;oui;00:01:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/CTRL_MOTEUR.ksh;.;;

MAINTENANCE_PFI/SuperVision/Scripts;exec;06:00:00;23:59:00;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/Check_Exit_not_zero.sh;lyn2e21.tlt {SMTP} {TX_MAIL_PAE}.;;

MAINTENANCE_PFI/SuperVision/CLIENT1;exec;06:00:00;23:59:00;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/Check_Exit_not_zero.sh;lyn2e15.tlt {SMTP} {TX_MAIL_PAE}.;;

MAINTENANCE_PFI/SuperVision/CLIENT2;exec;06:00:00;23:59:00;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/Check_Exit_not_zero.sh;lyn2e16.tlt {SMTP} {TX_MAIL_PAE}.;;

MAINTENANCE_PFI/SuperVision/CLIENT3;exec;06:00:00;23:59:00;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/Check_Exit_not_zero.sh;lyn2e17.tlt {SMTP} {TX_MAIL_PAE}.;;

MAINTENANCE_PFI/SuperVision/check_factu;exec;06:00:00;23:59:00;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/Check_factu.sh;"lyn2e21.tlt {SMTP} ""{TX_MAIL_Factu}"".";;MAINTENANCE_PFI/SuperVision/Serveur[obli]

MAINTENANCE_PFI/Purges/CLIENT1;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;

MAINTENANCE_PFI/Purges/CLIENT2;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;

MAINTENANCE_PFI/Purges/CLIENT3;exec;00:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/vtom/scripts/MAINTENANCE/PurgeLogClient.ksh;5.;;;

ALIM_FACTU/REF/import_ref;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/import_ref.sh;#NOM?;;;

ALIM_FACTU/PURGE_FICHIERS/purgeFichiers;exec;26:00:00;26:05:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/purgeFichiers.sh;#NOM?;;;

ALIM_FACTU/PURGE_TABLE/purgeTable;exec;27:00:00;27:05:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/purgeTable.sh;#NOM?;;;

ALIM_FACTU/COLL_REF/collecte;exec;28:30:00;28:35:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:30.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/collecte.sh;#NOM?;;;ALIM_FACTU/COLL_REF/HALT8[vaer:61-255],ALIM_FACTU/COLL_REF/Warning8[vaer:1-60]

ALIM_FACTU/COLL_REF/Warning8;exec;28:30:00;28:35:00;periodique;non;00:00:00;journaliere;non;oui;non;;non;manual;non;non;non;;.;;ALIM_FACTU/COLL_REF/collecte[vaer:1-60];

ALIM_FACTU/COLL_REF/HALT8;exec;28:30:00;28:35:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/COLL_REF/collecte[vaer:61-255];

ALIM_FACTU/COLL_TRACE/collecte;exec;20:00:00;20:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/collecte.sh;#NOM?;;;

ALIM_FACTU/EXTRACT_REJ/extraction_rejet;exec;29:00:00;29:05:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/extraction_rejets.sh;#NOM?;;;

ALIM_FACTU/COLL_DATA/collecte;exec;20:00:00;20:05:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/collecte.sh;#NOM?;;;ALIM_FACTU/COLL_DATA/Warning1[vaer:1-60],ALIM_FACTU/COLL_DATA/HALT1[vaer:61-255]

ALIM_FACTU/COLL_DATA/Warning1;exec;00:00:00;23:59:00;periodique;non;00:00:00;journaliere;non;oui;non;;non;manual;non;non;non;;.;;ALIM_FACTU/COLL_DATA/collecte[vaer:1-60];

ALIM_FACTU/COLL_DATA/HALT1;exec;00:00:00;23:59:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/COLL_DATA/collecte[vaer:61-255];

ALIM_FACTU/ALIM_FACT/prestation;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/prestation.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_25[obli];ALIM_FACTU/ALIM_FACT/OU_2[vaob:0],ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT/Warning_2[vaer:1-60]

ALIM_FACTU/ALIM_FACT/regle_simple;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/regle_simple.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_2[obli];ALIM_FACTU/ALIM_FACT/Warning_3[vaer:1-60],ALIM_FACTU/ALIM_FACT/OU_3[vaob:0],ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255]

ALIM_FACTU/ALIM_FACT/regle_complexe;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/regle_complexe.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_3[obli];ALIM_FACTU/ALIM_FACT/Warning_4[vaer:1-60],ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT/OU_4[vaob:0]

ALIM_FACTU/ALIM_FACT/remboursement;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/remboursement.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_4[obli];ALIM_FACTU/ALIM_FACT/Warning_18[vaer:1-60],ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT/OU_18[vaob:0]

ALIM_FACTU/ALIM_FACT/groupage_tarif;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/groupage_tarifaire.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_18[obli];ALIM_FACTU/ALIM_FACT/Warning_5[vaer:1-60],ALIM_FACTU/ALIM_FACT/OU_5[vaob:0],ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255]

ALIM_FACTU/ALIM_FACT/promotion_supple;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/promotion_et_supplement.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_5[obli];ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT/Warning_6[vaer:1-60],ALIM_FACTU/ALIM_FACT/OU_6[vaob:0]

ALIM_FACTU/ALIM_FACT/declaratif;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/declaratif.sh;#NOM?;;ALIM_FACTU/ALIM_FACT/OU_6[obli];ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT/Warning_7[vaer:1-60],ALIM_FACTU/ALIM_FACT/OU_7[vaob:0]

ALIM_FACTU/ALIM_FACT/collecte_neho;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/collecte_neho.sh;#NOM?;;;ALIM_FACTU/ALIM_FACT/OU_25[vaob:0],ALIM_FACTU/ALIM_FACT/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT/Warning_25[vaer:1-60]

ALIM_FACTU/ALIM_FACT/Warning_2;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/prestation[vaer:1-60];ALIM_FACTU/ALIM_FACT/OU_2[obli]

ALIM_FACTU/ALIM_FACT/Warning_5;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/groupage_tarif[vaer:1-60];ALIM_FACTU/ALIM_FACT/OU_5[obli]

ALIM_FACTU/ALIM_FACT/OU_2;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/prestation[vaob:0],ALIM_FACTU/ALIM_FACT/Warning_2[obli];ALIM_FACTU/ALIM_FACT/regle_simple[obli]

ALIM_FACTU/ALIM_FACT/OU_5;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/groupage_tarif[vaob:0],ALIM_FACTU/ALIM_FACT/Warning_5[obli];ALIM_FACTU/ALIM_FACT/promotion_supple[obli]

ALIM_FACTU/ALIM_FACT/Warning_7;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/declaratif[vaer:1-60];ALIM_FACTU/ALIM_FACT/OU_7[obli]

ALIM_FACTU/ALIM_FACT/OU_7;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/Warning_7[obli],ALIM_FACTU/ALIM_FACT/declaratif[vaob:0];

