ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_LOC_TEMP;smapx251;vp_mof;08-06-2010 18:30:02;08-06-2010 19:14:21;0:44:19;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_TEMP;smapx251;vp_mof;08-06-2010 19:14:21;08-06-2010 20:11:21;0:57:00;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/REMB_TEMP;smapx251;vp_mof;08-06-2010 20:11:21;08-06-2010 20:28:53;0:17:32;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/MAIL_REJET;smapx251;vp_mof;08-06-2010 20:28:53;08-06-2010 20:29:53;0:01:00;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/PURGE_MAIL;smapx251;vp_mof;08-06-2010 20:29:53;08-06-2010 20:29:58;0:00:05;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/MOF_TIERS_ANTIOP;smapx251;vp_mof;08-06-2010 20:29:58;08-06-2010 20:41:25;0:11:27;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/PURGE_MOF_ANTIOP;smapx251;vp_mof;08-06-2010 20:41:27;08-06-2010 20:41:35;0:00:08;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_TIERS;smapx251;vp_mof;08-06-2010 20:41:37;08-06-2010 20:43:46;0:02:09;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_RIB;smapx251;vp_mof;08-06-2010 20:43:47;08-06-2010 20:44:21;0:00:34;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_AIDA;smapx251;vp_mof;08-06-2010 20:44:21;08-06-2010 20:45:01;0:00:40;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_PAI;smapx251;vp_mof;08-06-2010 20:45:01;08-06-2010 20:45:31;0:00:30;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRSAS400;smapx251;vp_mof;08-06-2010 20:45:31;08-06-2010 20:46:01;0:00:30;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/PURG_REJET_TRS;smapx251;vp_mof;08-06-2010 20:46:01;08-06-2010 20:46:16;0:00:15;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/tiers_arcole;smapx251;vp_ares;08-06-2010 20:46:17;08-06-2010 20:47:32;0:01:15;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/insert_tiers;imapora2;vp_ares;08-06-2010 20:47:32;08-06-2010 20:51:13;0:03:41;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/MAJ_FIN;smapx251;vp_ares;08-06-2010 20:51:13;08-06-2010 20:51:38;0:00:25;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/envoi_rejets;smapx251;vp_ares;08-06-2010 20:51:38;08-06-2010 20:51:43;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/PURGE_TIERS_MOF;smapx251;vp_ares;08-06-2010 20:51:44;08-06-2010 20:51:48;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_ENGAGEMENT/INSERT_ENGAG;imapora2;vp_mof;08-06-2010 20:46:17;08-06-2010 21:22:38;0:36:21;TERMINE
MIDDLE_OFFICE/MOF_VERIF_ENGAG/VERIF_ENGAG;smapx251;vp_mof;08-06-2010 21:22:39;08-06-2010 21:32:05;0:09:26;TERMINE
MIDDLE_OFFICE/MOF_INS_BACKOFF/insert_backoff;imapora2;vp_mof;08-06-2010 21:22:39;08-06-2010 21:28:49;0:06:10;TERMINE
MIDDLE_OFFICE/MOF_INS_EDISTOCK/INSERT_EDI_STOCK;imapora2;vp_mof;08-06-2010 21:28:49;08-06-2010 21:28:54;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;08-06-2010 21:28:55;08-06-2010 21:28:59;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;08-06-2010 21:28:55;08-06-2010 21:29:49;0:00:54;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;08-06-2010 21:29:50;08-06-2010 21:29:50;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;08-06-2010 21:28:59;08-06-2010 21:29:54;0:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;08-06-2010 21:29:55;08-06-2010 21:29:55;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;08-06-2010 21:29:25;08-06-2010 21:29:59;0:00:34;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_stopint;smapx251;vtom43;08-06-2010 21:29:25;08-06-2010 21:30:00;0:00:35;TERMINE
