ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_LOC_TEMP;smapx251;vp_mof;21-07-2010 03:00:01;21-07-2010 04:02:12;1:02:11;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_TEMP;smapx251;vp_mof;21-07-2010 04:02:13;21-07-2010 04:55:46;0:53:33;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/REMB_TEMP;smapx251;vp_mof;21-07-2010 19:00:01;21-07-2010 19:26:21;0:26:20;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/MAIL_REJET;smapx251;vp_mof;21-07-2010 19:26:22;21-07-2010 19:27:27;0:01:05;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/PURGE_MAIL;smapx251;vp_mof;21-07-2010 19:27:27;21-07-2010 19:27:32;0:00:05;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/MOF_TIERS_ANTIOP;smapx251;vp_mof;21-07-2010 19:30:00;21-07-2010 19:32:00;0:02:00;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/PURGE_MOF_ANTIOP;smapx251;vp_mof;21-07-2010 19:32:00;21-07-2010 19:32:05;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_TIERS;smapx251;vp_mof;21-07-2010 19:32:06;21-07-2010 19:33:32;0:01:26;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_RIB;smapx251;vp_mof;21-07-2010 19:33:32;21-07-2010 19:33:52;0:00:20;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_AIDA;smapx251;vp_mof;21-07-2010 19:33:52;21-07-2010 19:34:17;0:00:25;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_PAI;smapx251;vp_mof;21-07-2010 19:34:17;21-07-2010 19:34:32;0:00:15;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRSAS400;smapx251;vp_mof;21-07-2010 19:34:32;21-07-2010 19:34:47;0:00:15;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/PURG_REJET_TRS;smapx251;vp_mof;21-07-2010 19:34:47;21-07-2010 19:35:02;0:00:15;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/tiers_arcole;smapx251;vp_ares;21-07-2010 20:00:01;21-07-2010 20:02:31;0:02:30;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/insert_tiers;imapora2;vp_ares;21-07-2010 20:02:32;21-07-2010 20:03:36;0:01:04;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/MAJ_FIN;smapx251;vp_ares;21-07-2010 20:03:37;21-07-2010 20:04:08;0:00:31;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/envoi_rejets;smapx251;vp_ares;21-07-2010 20:04:08;21-07-2010 20:04:13;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/PURGE_TIERS_MOF;smapx251;vp_ares;21-07-2010 20:04:13;21-07-2010 20:04:18;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_ENGAGEMENT/INSERT_ENGAG;imapora2;vp_mof;21-07-2010 19:35:03;21-07-2010 19:58:06;0:23:03;TERMINE
MIDDLE_OFFICE/MOF_VERIF_ENGAG/VERIF_ENGAG;smapx251;vp_mof;21-07-2010 19:58:06;21-07-2010 20:10:36;0:12:30;TERMINE
MIDDLE_OFFICE/MOF_INS_BACKOFF/insert_backoff;imapora2;vp_mof;21-07-2010 19:58:06;21-07-2010 20:03:58;0:05:52;TERMINE
MIDDLE_OFFICE/MOF_INS_EDISTOCK/INSERT_EDI_STOCK;imapora2;vp_mof;21-07-2010 20:03:58;21-07-2010 20:04:03;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;21-07-2010 20:04:03;21-07-2010 20:04:08;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:04:08;21-07-2010 20:05:03;0:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:05:03;21-07-2010 20:05:03;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;21-07-2010 20:04:33;21-07-2010 20:05:08;0:00:35;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/suppr_flag;imapora2;vp_mof;21-07-2010 20:05:08;21-07-2010 20:05:43;0:00:35;TERMINE
