ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_LOC_TEMP;smapx251;vp_mof;30-06-2010 03:00:02;30-06-2010 04:11:08;1:11:06;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_TEMP;smapx251;vp_mof;30-06-2010 04:11:08;30-06-2010 05:19:50;1:08:42;EN-ERREUR
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_TEMP;smapx251;vp_mof;30-06-2010 12:23:52;30-06-2010 13:04:02;0:40:10;EN-ERREUR
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_LOC_TEMP;smapx251;vp_mof;30-06-2010 18:00:01;30-06-2010 18:44:22;0:44:21;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_TEMP;smapx251;vp_mof;30-06-2010 18:44:23;30-06-2010 19:21:24;0:37:01;EN-ERREUR
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/REMB_TEMP;smapx251;vp_mof;30-06-2010 19:21:24;30-06-2010 19:29:45;0:08:21;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/MAIL_REJET;smapx251;vp_mof;30-06-2010 19:29:46;30-06-2010 19:31:07;0:01:21;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/PURGE_MAIL;smapx251;vp_mof;30-06-2010 19:31:07;30-06-2010 19:31:12;0:00:05;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/MOF_TIERS_ANTIOP;smapx251;vp_mof;30-06-2010 19:31:12;30-06-2010 19:33:14;0:02:02;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/PURGE_MOF_ANTIOP;smapx251;vp_mof;30-06-2010 19:33:14;30-06-2010 19:33:19;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_TIERS;smapx251;vp_mof;30-06-2010 19:33:19;30-06-2010 19:34:55;0:01:36;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_RIB;smapx251;vp_mof;30-06-2010 19:34:55;30-06-2010 19:35:15;0:00:20;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_AIDA;smapx251;vp_mof;30-06-2010 19:35:15;30-06-2010 19:35:40;0:00:25;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_PAI;smapx251;vp_mof;30-06-2010 19:35:40;30-06-2010 19:35:55;0:00:15;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRSAS400;smapx251;vp_mof;30-06-2010 19:35:55;30-06-2010 19:36:15;0:00:20;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/PURG_REJET_TRS;smapx251;vp_mof;30-06-2010 19:36:16;30-06-2010 19:36:32;0:00:16;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/tiers_arcole;smapx251;vp_ares;30-06-2010 20:00:05;30-06-2010 20:03:02;0:02:57;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/insert_tiers;imapora2;vp_ares;30-06-2010 20:03:02;30-06-2010 20:04:37;0:01:35;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/MAJ_FIN;smapx251;vp_ares;30-06-2010 20:04:37;30-06-2010 20:05:09;0:00:32;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/envoi_rejets;smapx251;vp_ares;30-06-2010 20:05:09;30-06-2010 20:05:12;0:00:03;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/PURGE_TIERS_MOF;smapx251;vp_ares;30-06-2010 20:05:12;30-06-2010 20:05:17;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_ENGAGEMENT/INSERT_ENGAG;imapora2;vp_mof;30-06-2010 19:36:32;30-06-2010 19:57:24;0:20:52;TERMINE
MIDDLE_OFFICE/MOF_VERIF_ENGAG/VERIF_ENGAG;smapx251;vp_mof;30-06-2010 19:57:24;30-06-2010 20:07:48;0:10:24;TERMINE
MIDDLE_OFFICE/MOF_INS_BACKOFF/insert_backoff;imapora2;vp_mof;30-06-2010 19:57:24;30-06-2010 19:57:29;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_INS_EDISTOCK/INSERT_EDI_STOCK;imapora2;vp_mof;30-06-2010 19:57:30;30-06-2010 19:57:34;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;30-06-2010 20:00:04;30-06-2010 20:00:21;0:00:17;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:00:21;30-06-2010 20:01:01;0:00:40;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:01:02;30-06-2010 20:01:31;0:00:29;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;30-06-2010 20:01:35;30-06-2010 20:02:11;0:00:36;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:01:31;30-06-2010 20:02:26;0:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:02:27;30-06-2010 20:02:27;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/suppr_flag;imapora2;vp_mof;30-06-2010 20:02:12;30-06-2010 20:02:42;0:00:30;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_start;smapx251;vtom43;30-06-2010 20:02:43;30-06-2010 20:02:52;0:00:09;TERMINE
