LOAD_BENEF;;;;;;
;;;;;;
ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;14/06/2010 03:00;14/06/2010 03:00;00:00:49;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;14/06/2010 03:00;14/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;14/06/2010 03:01;14/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;14/06/2010 03:01;14/06/2010 03:26;00:24:48;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;14/06/2010 03:26;14/06/2010 03:26;00:00:04;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;14/06/2010 03:26;14/06/2010 03:58;00:32:09;TERMINE
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;14/06/2010 03:58;14/06/2010 05:43;01:44:49;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;15/06/2010 03:00;15/06/2010 03:00;00:00:45;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;15/06/2010 03:00;15/06/2010 03:01;00:00:25;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;15/06/2010 03:01;15/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;15/06/2010 03:01;15/06/2010 04:52;01:51:01;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;15/06/2010 04:52;15/06/2010 04:52;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;15/06/2010 04:52;15/06/2010 05:48;00:55:46;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;15/06/2010 05:48;15/06/2010 07:17;01:29:11;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;16/06/2010 03:00;16/06/2010 03:00;00:00:49;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;16/06/2010 03:00;16/06/2010 03:01;00:00:20;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;16/06/2010 03:01;16/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;16/06/2010 03:01;16/06/2010 06:05;03:03:41;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;16/06/2010 06:05;16/06/2010 06:05;00:00:04;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;16/06/2010 06:05;16/06/2010 11:19;05:14:03;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;16/06/2010 11:19;16/06/2010 13:04;01:45:36;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;17/06/2010 03:00;17/06/2010 03:00;00:00:45;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;17/06/2010 03:00;17/06/2010 03:01;00:00:20;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;17/06/2010 03:01;17/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;17/06/2010 03:01;17/06/2010 05:20;02:19:05;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;17/06/2010 05:20;17/06/2010 05:20;00:00:04;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;17/06/2010 05:20;17/06/2010 06:01;00:40:42;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;17/06/2010 06:01;17/06/2010 07:32;01:31:06;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;18/06/2010 03:00;18/06/2010 03:01;00:01:21;TERMINE
